Company_Name,Full_Name,Rating,Reviews,Salaries,Interviews,Jobs,Benefits,Industry,Headquarters_Locations,Rated_For,Profile_URL
Genpact,Genpact overview,3.6,44.7k,2.4L,4.1k,569,3.7k,Analytics & KPO,Hyderabad +188 other locations,Job Security,https://www.ambitionbox.com/overview/genpact-overview
TP,TP  overview,3.8,40.7k,1L,2.3k,1.5k,2k,BPO,Mumbai +270 other locations,"Work Life Balance, Job Security",https://www.ambitionbox.com/overview/tp-overview
Axis Bank,Axis Bank overview,3.6,35.1k,1L,2.1k,247,2.3k,Banking,Mumbai +1568 other locations,"Promotions, Work Satisfaction, Company Culture",https://www.ambitionbox.com/overview/axis-bank-overview
Jio,Reliance jio,4.4,34.7k,61.6k,4.6k,--,2.6k,Telecom,Mumbai +1980 other locations,"Job Security, Company Culture, Work Life Balance",https://www.ambitionbox.com/overview/jio-overview
Concentrix Corporation,Concentrix Corporation overview,3.5,33.8k,1.3L,2.1k,59,3.2k,BPO,Bengaluru +195 other locations,Job Security,https://www.ambitionbox.com/overview/concentrix-corporation-overview
Amazon,Amazon overview,3.9,33.3k,1.6L,6.2k,88,3.5k,Internet,Bengaluru +553 other locations,"Company Culture, Work Life Balance, Salary",https://www.ambitionbox.com/overview/amazon-overview
Reliance Retail,Reliance Retail Limited,3.9,28.4k,75.1k,2k,73,1.9k,Retail,Mumbai +1191 other locations,"Job Security, Work Life Balance, Skill Development",https://www.ambitionbox.com/overview/reliance-retail-overview
iEnergizer,ienergizer,4.5,28.1k,25.5k,1.7k,76,972,BPO,Noida +55 other locations,"Company Culture, Work Life Balance, Work Satisfaction",https://www.ambitionbox.com/overview/ienergizer-overview
LTM Limited,LTM Limited overview,3.6,27.8k,2L,3.5k,626,909,IT Services & Consulting,Bengaluru +158 other locations,"Promotions, Salary, Work Satisfaction",https://www.ambitionbox.com/overview/ltm-limited-overview
HDB Financial Services,HDB Financial Services overview,3.9,26.9k,49k,1.2k,5,1.4k,NBFC,Mumbai +1122 other locations,"Promotions, Salary",https://www.ambitionbox.com/overview/hdb-financial-services-overview
IBM,IBM overview,3.9,26.9k,2.2L,2.7k,343,2.7k,IT Services & Consulting,Bengaluru +174 other locations,"Work Life Balance, Company Culture, Job Security",https://www.ambitionbox.com/overview/ibm-overview
Larsen & Toubro Limited,Larsen and Toubro,3.9,25.2k,77.6k,2k,276,2.6k,Engineering & Construction,Mumbai +807 other locations,"Job Security, Skill Development, Salary",https://www.ambitionbox.com/overview/larsen-and-toubro-limited-overview
Deloitte,Deloitte overview,3.6,24.9k,2.9L,3.5k,532,2.5k,Management Consulting,Hyderabad +209 other locations,"Promotions, Work Life Balance, Work Satisfaction",https://www.ambitionbox.com/overview/deloitte-overview
Kotak Mahindra Bank,Kotak Mahindra Bank Ltd..,3.6,23.6k,88.4k,1.5k,171,1.4k,Banking,Mumbai +712 other locations,"Promotions, Work Satisfaction, Company Culture",https://www.ambitionbox.com/overview/kotak-mahindra-bank-overview
Reliance Industries,Reliance Industries Limited,4.0,21.2k,75.9k,1.7k,101,1.9k,Oil & Gas,Jamnagar +840 other locations,"Job Security, Work Life Balance, Skill Development",https://www.ambitionbox.com/overview/reliance-industries-overview
Vodafone Idea,vodafone idea,3.9,18.1k,48.6k,723,71,2k,Telecom,Pune +724 other locations,"Salary, Company Culture, Work Life Balance",https://www.ambitionbox.com/overview/vodafone-idea-overview
Bharti Airtel,Bharti Airtel overview,3.8,17.8k,50.5k,1.2k,194,1.6k,Telecom,Gurugram +813 other locations,Promotions,https://www.ambitionbox.com/overview/bharti-airtel-overview
BYJU'S,BYJU'S overview,3.2,16.4k,49.3k,2.1k,5,1.7k,EdTech,Bengaluru +324 other locations,"Job Security, Company Culture, Work Life Balance",https://www.ambitionbox.com/overview/byjus-overview
WNS,WNS overview,3.3,16.1k,71.2k,1.3k,67,1.4k,IT Services & Consulting,Pune +71 other locations,"Promotions, Salary, Skill Development",https://www.ambitionbox.com/overview/wns-overview
IDFC FIRST Bank,IDFC Bank,4.0,16k,51.4k,1.1k,102,837,Banking,Mumbai +755 other locations,"Salary, Skill Development, Company Culture",https://www.ambitionbox.com/overview/idfc-first-bank-overview
Ernst & Young,Ernst Young,3.4,15.5k,1.5L,1.4k,2k,1.1k,Management Consulting,Bengaluru +147 other locations,"Promotions, Work Life Balance, Work Satisfaction",https://www.ambitionbox.com/overview/ernst-young-overview
IndusInd Bank,IndusInd Bank overview,3.4,15k,52.6k,799,142,837,Banking,Mumbai +820 other locations,"Promotions, Company Culture, Work Satisfaction",https://www.ambitionbox.com/overview/indusind-bank-overview
AU Small Finance Bank,AU Small Finance Bank overview,3.8,15k,30.6k,742,276,635,Banking,Jaipur +830 other locations,,https://www.ambitionbox.com/overview/au-small-finance-bank-overview
Tata Motors,Tata Motors overview,4.1,14.8k,44.5k,1.4k,28,1.7k,Automobile,Pune +521 other locations,"Job Security, Company Culture, Work Life Balance",https://www.ambitionbox.com/overview/tata-motors-overview
Bajaj Finserv,Bajaj Finserv overview,3.9,14.1k,32.7k,840,7,759,NBFC,Pune +1251 other locations,"Salary, Skill Development, Job Security",https://www.ambitionbox.com/overview/bajaj-finserv-overview
Flipkart,Flipkart overview,3.9,13.7k,57.7k,1.8k,87,1.4k,Internet,Bengaluru +577 other locations,"Company Culture, Skill Development, Salary",https://www.ambitionbox.com/overview/flipkart-overview
Muthoot FinCorp,Muthoot FinCorp overview,4.5,13.6k,9.9k,2.4k,55,334,NBFC,Bengaluru +1138 other locations,"Company Culture, Work Life Balance, Job Security",https://www.ambitionbox.com/overview/muthoot-fincorp-overview
PwC,Price Waterhouse Coopers,3.3,13.6k,1.4L,1.6k,1.5k,899,Management Consulting,Bengaluru +151 other locations,"Promotions, Work Life Balance, Work Satisfaction",https://www.ambitionbox.com/overview/pwc-overview
Mahindra & Mahindra,Mahindra & Mahindra overview,4.0,12.8k,42k,922,2,1.2k,Automobile,Pune +582 other locations,"Job Security, Skill Development, Company Culture",https://www.ambitionbox.com/overview/mahindra-and-mahindra-overview
HDFC Life,HDFC LIFE,3.8,12.8k,34.2k,854,211,668,Insurance,Mumbai +733 other locations,Skill Development,https://www.ambitionbox.com/overview/hdfc-life-overview
Infosys BPM,Infosys BPM,3.5,12.6k,79.4k,1.1k,71,1.2k,BPO,Bengaluru +98 other locations,Job Security,https://www.ambitionbox.com/overview/infosys-bpm-overview
DXC Technology,DXC Technology overview,3.6,12.4k,73.7k,917,97,1.1k,IT Services & Consulting,Bengaluru +134 other locations,Work Life Balance,https://www.ambitionbox.com/overview/dxc-technology-overview
Bandhan Bank,Bandhan Bank overview,3.6,12.1k,27.8k,800,--,594,Banking,Kolkata +1057 other locations,"Promotions, Work Satisfaction, Company Culture",https://www.ambitionbox.com/overview/bandhan-bank-overview
Digitide Solutions,Digitide Solutions overview,3.4,10.9k,27.5k,603,335,794,IT Services & Consulting,Hyderabad +282 other locations,"Promotions, Salary, Work Satisfaction",https://www.ambitionbox.com/overview/conneqt-business-solutions-overview
Yes Bank,Yes Bank overview,3.7,10.8k,43.2k,586,186,649,Banking,Mumbai +549 other locations,"Job Security, Promotions, Company Culture",https://www.ambitionbox.com/overview/yes-bank-overview
Mphasis,Mphasis overview,3.3,10.7k,75.5k,962,64,881,IT Services & Consulting,Bengaluru +68 other locations,"Promotions, Salary, Work Satisfaction",https://www.ambitionbox.com/overview/mphasis-overview
Tata Steel,TATA Steel,4.0,10.5k,34.9k,1.1k,--,697,Iron & Steel,Jamshedpur +236 other locations,"Work Life Balance, Job Security, Company Culture",https://www.ambitionbox.com/overview/tata-steel-overview
Quess,Quess overview,3.8,10.3k,32.2k,562,7,464,Recruitment,Bengaluru +780 other locations,"Promotions, Job Security",https://www.ambitionbox.com/overview/quess-overview
UltraTech Cement,UltraTech Cement overview,4.1,10.2k,25.4k,863,97,684,Building Material,Mumbai +558 other locations,"Job Security, Skill Development, Company Culture",https://www.ambitionbox.com/overview/ultratech-cement-overview
Asian Paints,Asian Paints overview,3.9,10.1k,26.8k,919,103,948,Chemicals,Mumbai +573 other locations,"Salary, Skill Development, Job Security",https://www.ambitionbox.com/overview/asian-paints-overview
Startek,Startek overview,3.0,10.1k,25.1k,689,267,721,BPO,Bengaluru +109 other locations,"Promotions, Company Culture, Work Satisfaction",https://www.ambitionbox.com/overview/startek-overview
Maruti Suzuki,Maruti Suzuki India Limited,4.1,10k,29.8k,844,691,1k,Automobile,Gurugram +472 other locations,"Job Security, Salary, Company Culture",https://www.ambitionbox.com/overview/maruti-suzuki-overview
Bajaj Finance,Bajaj fainance,3.9,9.9k,24k,473,9.3k,545,NBFC,Pune +1043 other locations,"Salary, Skill Development, Job Security",https://www.ambitionbox.com/overview/bajaj-finance-overview
Paytm,PayTM,3.2,9.8k,35k,935,1k,583,FinTech,Noida +444 other locations,"Job Security, Company Culture, Promotions",https://www.ambitionbox.com/overview/paytm-overview
Sutherland Global Services,Sutherland Global Services overview,3.3,9.6k,37.4k,843,445,950,BPO,Chennai +90 other locations,"Promotions, Salary, Work Satisfaction",https://www.ambitionbox.com/overview/sutherland-global-services-overview
Shriram Finance,shri ram finance,3.9,9.6k,15.9k,487,8,96,NBFC,Chennai +1148 other locations,"Job Security, Work Life Balance",https://www.ambitionbox.com/overview/shriram-finance-overview
Coforge,Coforge overview,3.3,9.4k,69.5k,999,346,452,IT Services & Consulting,Hyderabad +117 other locations,"Promotions, Work Satisfaction, Job Security",https://www.ambitionbox.com/overview/coforge-overview
Equitas Small Finance Bank,Equitas Small Finance Bank overview,4.3,9.3k,14.2k,1k,40,472,Banking,Chennai +491 other locations,"Company Culture, Work Life Balance, Job Security",https://www.ambitionbox.com/overview/equitas-small-finance-bank-overview
Wells Fargo,Wells Fargo overview,3.5,9.2k,67.4k,721,141,913,Financial Services,Bengaluru +32 other locations,"Promotions, Skill Development, Work Satisfaction",https://www.ambitionbox.com/overview/wells-fargo-overview
